"id","title","price","priceHR","description","thumbnailURL","category"
"0","HP 22-c0039ns","439","439.00€","Potente equipo todo en uno HP 22-c0039ns en color blanco nieve para que disfrutes con toda tu familia. Navega con facilidad gracias Windows 10 mientras navegas cómodamente gracias a su inclinación ajustable que te permite trabajar en varias medidas.","https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_73749070/fee_194_131_png/All-in-one---HP-22-c0039ns--21.5%22-FHD--AMD-A4--9125-Dual-Core--8-GB-RAM--256-GB-SSD--Windows-10--Blanco","Sobremesas"
"1","ASUS F543BA","396","396.00€","El ASUS F543BA-GQ739T es un portátil de 15.6 con una sólida construcción y peso de 2kg. Ideal para cubrir tus necesidades informáticas o consumir contenido online para tu entretenimiento. ","https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_72549056/fee_240_148_png/Port%C3%A1til---ASUS-Laptop-F543BA-GQ739T--15.6%22-HD--AMD-Dual-Core-A9-9425--8GB--256GB-SSD--W10","Portátiles"
"2","Acer Aspire XC-886","657","657.00€","Disfruta de nuevas experiencias tecnológicas con el PC Sobremesa Acer Aspire XC-886 fusionando potencia y calidad en sus componentes. Esta combinación te aportará la velocidad y fluidez de datos que necesitas para que disfrutes de todo el rendimiento y que puedas ejecutar tus tareas o procesos.","https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_73217646/fee_240_148_png/PC-Sobremesa---Acer-Aspire-XC-886--Intel%C2%AE-Core%E2%84%A2-i5-9400--8-GB-RAM--512-GB-SSD--W10--Negro","Sobremesas"
"3","Lenovo S340-15IIL","881","881.00€","El portátil Lenovo S340-15IIL con pantalla de 15.6 Full HD y en color gris platino tiene un diseño ligero y fino y con él podrás realizar todas tus tareas gracias a su potente procesador.","https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_74909395/fee_240_148_png/Port%C3%A1til---Lenovo-S340-15IIL--15.6-%22-Full-HD--Intel%C2%AE-Core%E2%84%A2-i7-1065G7--8-GB-DDR4--1-TB-SSD--W10-Home--Gris","Portátiles"
"4","HP S01-pF0023ns","399","399.00€","Ejecuta varias tareas de forma eficiente y gestiona todas las necesidades diarias con la mini torre HP Slim Desktop S01-pF0023ns en color negro azabache con logo cromado oscuro.","https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_74625697/fee_240_148_png/PC-Sobremesa---HP-S01-pF0023ns--Intel%C2%AE-Core%E2%84%A2-i3-9100--8-GB--512-GB-SSD--FreeDOS--Negro","Sobremesas"
"5","Xiaomi Mi TV 4A","179","179.00€","La TV LED 32 Xiaomi Mi TV 4A está pensada para que la exprimas al máximo. Con alta conectividad, preparada para contenidos HD y sonido Dolby Audio. Con Xiaomi descubrirás las ventajas de tecnología superior.","https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_70644748/fee_240_148_png/TV-LED-32%22---Xiaomi-Mi-TV-4A--HD--Quad-Core--Bluetooth--Android-TV--PatchWall--Google-Assistant--Chromecast","Televisores"
"6","Lenovo S145-15AST","416","416.00€","Lenovo te trae el ordenador portátil Ideapad S145-15IWL que hará que tus tareas sean mucho más fáciles. Cuenta con un potente procesador AMD con un diseño elegante y ligero. Este portátil duradero de 39,62 cm (15,6) ofrece un magnífico sonido con una variedad de opciones de almacenamiento seguras y rápidas.","https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71439419/fee_240_148_png/Port%C3%A1til---Lenovo-S145-15AST--15.6%22-FullHD--AMD-A6-9225--8-GB---256-GB--SSD--W10-Home--Gris","Portátiles"
"7"," Cellularline BTPETITTWSW","72.99","72.99€","Los auriculares inalámbricos Cellularline BTPETITTWSW te permiten movilidad y funcionalidad, allá donde vayas. Atiende llamadas, juega, escucha podcasts, sigue tu emisora favorita, etc. Conecta con tu mundo y disfruta de la mejor música.","https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71377542/fee_325_225_png/Auriculares-inal%C3%A1mbricos---Cellularline-BTPETITTWSW--Bluetooth--MicroUSB--Atiende-llamadas--4.5-Horas--Blanco","Sobremesas"
"8","StarTech.com PEX2M2 ","104.39","104.39€","Esta tarjeta controladora SSD M.2 le permite instalar dos unidades de estado sólido (SSD) SATA M.2 en su ordenador a través de PCI Express. Es posible instalar casi cualquier unidad M.2 directamente en la tarjeta, lo cual constituye una forma práctica y discreta de mejorar el rendimiento de su sistema informático. Además, la tarjeta es un complemento esencial del ordenador si se necesita recuperar datos de una unidad M.2 existente, o para expandir en general su almacenamiento interno.","https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-79136511/fee_325_225_png/Tarjeta-M.2---StarTech.com-PEX2M2-Tarjeta-Controladora-M.2--PCI-Express-para-2-SSD","Componentes"
"9","HP 14-df0003ns","323","323.00€","El portátil HP 14-df0003ns con pantalla de 14 Full HD y en color blanco copo de nieve tiene un diseño ligero y fino y con él podrás realizar todas tus tareas gracias a su procesador y su batería de larga duración (hasta 10 horas y media).","https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_72220879/fee_240_148_png/Port%C3%A1til----HP-14-df0003ns--14%22-Full-HD--Intel%C2%AE-Celeron%C2%AE-N4000--4GB-RAM--64GB-eMMC--Windows-10-Home--Blanco","Portátiles"
"10","Samsung Crystal UHD 65TU7125","829","829.00€","Los paneles Crystal UHD con resolución 4K de Samsung, estánconstruidos con nanopartículas inorgánicas cristalinas y 16 bits, lo cual les permite reproducir hasta 1.000 millones de colores y, al ser inorgánicas, no se degradan con el tiempo. ¿Quieres el televisor 4K perfecto para tu día a día?","https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_75698564/fee_240_148_png/TV-LED-65%22---Samsung-Crystal-UHD-65TU7125--Smart-TV--4K-Real-y-HDR10---Compatible-Asistentes-de-Voz--Tap-View","Televisores"
"11","HP Slim Desktop S01-aF0010ns","249","249.00€","Ejecuta varias tareas de forma eficiente y gestiona todas las necesidades diarias con la mini torre HP Slim Desktop S01-aF0010ns en color negro azabache con logo cromado oscuro.","https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_74719488/fee_240_148_png/PC-Sobremesa---HP-Slim-Desktop-S01-aF0010ns--Intel%C2%AE-Celeron%C2%AE-J4005--8-GB-RAM--256-GB-SSD--Intel%C2%AE-UHD-6--FDOS","Sobremesas"
"12","Xiaomi Redmi 8","193","193.00€","Déjate cautivar por la pantalla HD+ del móvil Xiaomi Redmi 8 en color azul de diseño fino y elegante. ¡Pero no todo es el físico! Este smartphone te ofrecerá un rendimiento espectacular, espacio para todos tus archivos y unas fotografías casi profesionales gracias a su triple cámara.","https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71455239/fee_325_225_png/M%C3%B3vil---Xiaomi-Redmi-8--Azul--64-GB--4-GB-RAM--6.22%22-HD---Snapdragon-439--5000-mAh--Android","Smartphones"
"13","APPLE MRR12Y/A","2399","2399.00€","Apple lo ha vuelto a hacer. Otra vez nos ha sorprendido a todos. Deja que el All in One Apple iMac MRR12Y de 27 te deslumbre cada vez que abras la puerta de tu escritorio y te deje cautivado con su increíble rendimiento, calidad y elegancia.","https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_73617044/fee_240_148_png/iMac---APPLE-MRR12Y-A--27%27%27-Retina-5K--Intel%C2%AE-Core%E2%84%A2-i5-9600K--8-GB--2-TB-Fusion-Drive--Radeon-Pro-580X--Plata","Sobremesas"
